date,time,demand,prediction
2021-08-04,0:00:38,22190,21615.346
2021-08-04,0:05:36,22098,21615.346
2021-08-04,0:10:37,22072,21615.346
2021-08-04,0:15:37,22045,21615.346
2021-08-04,0:20:41,21987,21615.346
2021-08-04,0:25:36,22079,21615.346
2021-08-04,0:30:36,22005,21615.346
2021-08-04,0:35:36,21953,21615.346
2021-08-04,0:40:39,22003,21615.346
2021-08-04,0:45:37,22050,21615.346
2021-08-04,0:50:36,21959,21615.346
2021-08-04,0:55:35,21675,21615.346
2021-08-04,1:00:38,21567,21615.346
2021-08-04,1:05:37,21490,21615.346
2021-08-04,1:10:38,21632,21615.346
2021-08-04,1:15:36,21620,21615.346
2021-08-04,1:20:38,21728,21615.346
2021-08-04,1:25:37,21703,21615.346
2021-08-04,1:30:38,21671,21615.346
2021-08-04,1:35:36,21619,21615.346
2021-08-04,1:40:40,21580,21615.346
2021-08-04,1:45:37,21495,21615.346
2021-08-04,1:50:36,21436,21615.346
2021-08-04,1:55:36,21362,21615.346
2021-08-04,2:00:48,21181,21615.346
2021-08-04,2:05:36,21048,21615.346
2021-08-04,2:10:37,21177,21615.346
2021-08-04,2:15:36,21179,21615.346
2021-08-04,2:20:36,21329,21615.346
2021-08-04,2:25:36,21378,21615.346
2021-08-04,2:30:37,21366,21615.346
2021-08-04,2:35:37,21314,21615.346
2021-08-04,2:40:37,21298,21615.346
2021-08-04,2:45:37,21275,21615.346
2021-08-04,2:50:36,21269,21615.346
2021-08-04,2:55:36,21295,21615.346
2021-08-04,3:00:40,21340,21615.346
2021-08-04,3:05:36,21343,21615.346
2021-08-04,3:10:37,21360,21615.346
2021-08-04,3:15:37,21390,21615.346
2021-08-04,3:20:36,21353,21615.346
2021-08-04,3:25:36,21381,21615.346
2021-08-04,3:30:39,21382,21615.346
2021-08-04,3:35:36,21346,21615.346
2021-08-04,3:40:38,21335,21615.346
2021-08-04,3:45:36,21348,21615.346
2021-08-04,3:50:37,21322,21615.346
2021-08-04,3:55:37,21321,21615.346
2021-08-04,4:00:37,21330,21615.346
2021-08-04,4:05:36,21277,21615.346
2021-08-04,4:10:38,21534,21615.346
2021-08-04,4:15:36,21725,21615.346
2021-08-04,4:20:36,21746,21615.346
2021-08-04,4:25:37,21743,21615.346
2021-08-04,4:30:36,21770,21615.346
2021-08-04,4:35:36,21737,21615.346
2021-08-04,4:40:38,21782,21615.346
2021-08-04,4:45:36,21819,21615.346
2021-08-04,4:50:36,21749,21615.346
2021-08-04,4:55:37,21777,21615.346
2021-08-04,5:00:37,21955,21615.346
2021-08-04,5:05:37,21999,21615.346
2021-08-04,5:10:36,22160,21615.346
2021-08-04,5:15:36,22523,21615.346
2021-08-04,5:20:39,22781,21615.346
2021-08-04,5:25:36,22984,21615.346
2021-08-04,5:30:37,23281,21615.346
2021-08-04,5:35:36,23484,21615.346
2021-08-04,5:40:40,23709,21615.346
2021-08-04,5:45:35,24013,21615.346
2021-08-04,5:50:36,24277,21615.346
2021-08-04,5:55:35,24567,21615.346
2021-08-04,6:00:38,24817,25183.26
2021-08-04,6:05:36,25083,25183.26
2021-08-04,6:10:37,25546,25183.26
2021-08-04,6:15:36,25825,25183.26
2021-08-04,6:20:38,26149,25183.26
2021-08-04,6:25:45,26376,25183.26
2021-08-04,6:30:42,26640,25183.26
2021-08-04,6:35:35,26709,25183.26
2021-08-04,6:40:36,26757,25183.26
2021-08-04,6:45:36,26896,25183.26
2021-08-04,6:50:36,27003,25183.26
2021-08-04,6:55:37,27187,25183.26
2021-08-04,7:00:39,27350,28738.459
2021-08-04,7:05:37,27488,28738.459
2021-08-04,7:10:39,27824,28738.459
2021-08-04,7:15:36,28155,28738.459
2021-08-04,7:20:36,28341,28738.459
2021-08-04,7:25:37,28448,28738.459
2021-08-04,7:30:36,28506,28738.459
2021-08-04,7:35:36,28492,28738.459
2021-08-04,7:40:37,28556,28738.459
2021-08-04,7:45:36,28492,28738.459
2021-08-04,7:50:38,28491,28738.459
2021-08-04,7:55:36,28526,28738.459
2021-08-04,8:00:37,28556,28553.025
2021-08-04,8:05:36,28558,28553.025
2021-08-04,8:10:36,28571,28553.025
2021-08-04,8:15:37,28516,28553.025
2021-08-04,8:20:37,28491,28553.025
2021-08-04,8:25:36,28428,28553.025
2021-08-04,8:30:42,28365,28553.025
2021-08-04,8:35:36,28180,28553.025
2021-08-04,8:40:37,27989,28553.025
2021-08-04,8:45:37,27901,28553.025
2021-08-04,8:50:36,27853,28553.025
2021-08-04,8:55:37,27842,28553.025
2021-08-04,9:00:37,27735,28553.025
2021-08-04,9:05:37,27697,28553.025
2021-08-04,9:10:37,27543,28553.025
2021-08-04,9:15:37,27552,28553.025
2021-08-04,9:20:38,27540,28553.025
2021-08-04,9:25:37,27412,28553.025
2021-08-04,9:30:37,27364,28553.025
2021-08-04,9:35:38,27271,28553.025
2021-08-04,9:40:39,27164,28553.025
2021-08-04,9:45:36,27120,28553.025
2021-08-04,9:50:36,27108,28553.025
2021-08-04,9:55:36,27111,28553.025
2021-08-04,10:00:40,27049,28553.025